01. Ano,02. Nome Região (Portugal),03. Indicador,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
1974,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,16.5
1975,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,20.0
1976,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,20.0
1977,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,22.4
1977,Portugal,Retribuição mínima mensal garantida (RMMG) na agricultura - Portugal continental,,,,,,17.5
1978,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,28.4
1978,Portugal,Retribuição mínima mensal garantida (RMMG) na agricultura - Portugal continental,,,,,,22.4
1978,Portugal,Retribuição mínima mensal garantida (RMMG) no serviço doméstico - Portugal continental,,,,,,17.5
1979,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,37.4
1979,Portugal,Retribuição mínima mensal garantida (RMMG) na agricultura - Portugal continental,,,,,,30.4
1979,Portugal,Retribuição mínima mensal garantida (RMMG) no serviço doméstico - Portugal continental,,,,,,23.5
1980,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,44.9
1980,Portugal,Retribuição mínima mensal garantida (RMMG) na agricultura - Portugal continental,,,,,,37.4
1980,Portugal,Retribuição mínima mensal garantida (RMMG) no serviço doméstico - Portugal continental,,,,,,28.4
1981,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,53.4
1981,Portugal,Retribuição mínima mensal garantida (RMMG) na agricultura - Portugal continental,,,,,,44.6
1981,Portugal,Retribuição mínima mensal garantida (RMMG) no serviço doméstico - Portugal continental,,,,,,33.9
1982,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,53.4
1982,Portugal,Retribuição mínima mensal garantida (RMMG) na agricultura - Portugal continental,,,,,,44.6
1982,Portugal,Retribuição mínima mensal garantida (RMMG) no serviço doméstico - Portugal continental,,,,,-,
1983,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,64.8
1983,Portugal,Retribuição mínima mensal garantida (RMMG) na agricultura - Portugal continental,,,,,,54.4
1983,Portugal,Retribuição mínima mensal garantida (RMMG) no serviço doméstico - Portugal continental,,,,,,41.4
1984,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,77.8
1984,Portugal,Retribuição mínima mensal garantida (RMMG) na agricultura - Portugal continental,,,,,,64.8
1984,Portugal,Retribuição mínima mensal garantida (RMMG) no serviço doméstico - Portugal continental,,,,,,49.9
1985,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,95.8
1985,Portugal,Retribuição mínima mensal garantida (RMMG) na agricultura - Portugal continental,,,,,,82.3
1985,Portugal,Retribuição mínima mensal garantida (RMMG) no serviço doméstico - Portugal continental,,,,,,64.9
1986,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,112.2
1986,Portugal,Retribuição mínima mensal garantida (RMMG) na agricultura - Portugal continental,,,,,,97.3
1986,Portugal,Retribuição mínima mensal garantida (RMMG) no serviço doméstico - Portugal continental,,,,,,75.8
1987,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,125.7
1987,Portugal,Retribuição mínima mensal garantida (RMMG) na agricultura - Portugal continental,,,,,,111.7
1987,Portugal,Retribuição mínima mensal garantida (RMMG) no serviço doméstico - Portugal continental,,,,,,87.3
1988,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,135.7
1988,Portugal,Retribuição mínima mensal garantida (RMMG) na agricultura - Portugal continental,,,,,,123.7
1988,Portugal,Retribuição mínima mensal garantida (RMMG) no serviço doméstico - Portugal continental,,,,,,97.3
1989,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,149.6
1989,Portugal,Retribuição mínima mensal garantida (RMMG) na agricultura - Portugal continental,,,,,,141.7
1989,Portugal,Retribuição mínima mensal garantida (RMMG) no serviço doméstico - Portugal continental,,,,,,111.8
1990,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,174.6
1990,Portugal,Retribuição mínima mensal garantida (RMMG) na agricultura - Portugal continental,,,,,,172.1
1990,Portugal,Retribuição mínima mensal garantida (RMMG) no serviço doméstico - Portugal continental,,,,,,139.7
1991,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,200.0
1991,Portugal,Retribuição mínima mensal garantida (RMMG) na agricultura - Portugal continental,,,,,,200.0
1991,Portugal,Retribuição mínima mensal garantida (RMMG) no serviço doméstico - Portugal continental,,,,,,167.2
1992,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,222.0
1992,Portugal,Retribuição mínima mensal garantida (RMMG) no serviço doméstico - Portugal continental,,,,,,189.6
1993,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,236.4
1993,Portugal,Retribuição mínima mensal garantida (RMMG) no serviço doméstico - Portugal continental,,,,,,204.6
1994,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,245.9
1994,Portugal,Retribuição mínima mensal garantida (RMMG) no serviço doméstico - Portugal continental,,,,,,214.6
1995,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,259.4
1995,Portugal,Retribuição mínima mensal garantida (RMMG) no serviço doméstico - Portugal continental,,,,,,228.0
1996,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,272.3
1996,Portugal,Retribuição mínima mensal garantida (RMMG) no serviço doméstico - Portugal continental,,,,,,244.5
1997,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,282.8
1997,Portugal,Retribuição mínima mensal garantida (RMMG) no serviço doméstico - Portugal continental,,,,,,256.7
1998,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,293.8
1998,Portugal,Retribuição mínima mensal garantida (RMMG) no serviço doméstico - Portugal continental,,,,,,270.0
1999,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,305.8
1999,Portugal,Retribuição mínima mensal garantida (RMMG) no serviço doméstico - Portugal continental,,,,,,283.9
2000,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,318.2
2000,Portugal,Retribuição mínima mensal garantida (RMMG) no serviço doméstico - Portugal continental,,,,,-,
2001,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,334.2
2001,Portugal,Retribuição mínima mensal garantida (RMMG) no serviço doméstico - Portugal continental,,,,,,320.9
2002,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,348.0
2002,Portugal,Retribuição mínima mensal garantida (RMMG) no serviço doméstico - Portugal continental,,,,,,341.4
2003,Portugal,Retribuição mínima mensal garantida (RMMG) - Madeira,,,,,,363.7
2003,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,356.6
2003,Portugal,Retribuição mínima mensal garantida (RMMG) no serviço doméstico - Portugal continental,,,,,,353.2
2004,Portugal,Retribuição mínima mensal garantida (RMMG) - Madeira,,,,,,372.9
2004,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,365.6
2004,Portugal,Retribuição mínima mensal garantida (RMMG) no serviço doméstico - Portugal continental,,,,,,365.6
2005,Portugal,Retribuição mínima mensal garantida (RMMG) - Madeira,,,,,,382.2
2005,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,374.7
2006,Portugal,Retribuição mínima mensal garantida (RMMG) - Madeira,,,,,,393.6
2006,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,385.9
2007,Portugal,Retribuição mínima mensal garantida (RMMG) - Madeira,,,,,,411.1
2007,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,403.0
2008,Portugal,Retribuição mínima mensal garantida (RMMG) - Madeira,,,,,,434.5
2008,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,426.0
2009,Portugal,Retribuição mínima mensal garantida (RMMG) - Madeira,,,,,,459.0
2009,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,450.0
2010,Portugal,Retribuição mínima mensal garantida (RMMG) - Madeira,,,,,,484.5
2010,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,475.0
2011,Portugal,Retribuição mínima mensal garantida (RMMG) - Madeira,,,,,,494.7
2011,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,485.0
2012,Portugal,Retribuição mínima mensal garantida (RMMG) - Madeira,,,,,,494.7
2012,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,485.0
2013,Portugal,Retribuição mínima mensal garantida (RMMG) - Madeira,,,,,,494.7
2013,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,485.0
2014,Portugal,Retribuição mínima mensal garantida (RMMG) - Madeira,,,,,,494.7
2014,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,485.0
2015,Portugal,Retribuição mínima mensal garantida (RMMG) - Madeira,,,,,,515.1
2015,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,505.0
2016,Portugal,Retribuição mínima mensal garantida (RMMG) - Madeira,,,,,,540.6
2016,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,530.0
2017,Portugal,Retribuição mínima mensal garantida (RMMG) - Madeira,,,,,,570.0
2017,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,557.0
2018,Portugal,Retribuição mínima mensal garantida (RMMG) - Madeira,,,,,,592.0
2018,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,580.0
2019,Portugal,Retribuição mínima mensal garantida (RMMG) - Açores,,,,,,630.0
2019,Portugal,Retribuição mínima mensal garantida (RMMG) - Madeira,,,,,,615.0
2019,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,600.0
2020,Portugal,Retribuição mínima mensal garantida (RMMG) - Açores,,,,,,666.8
2020,Portugal,Retribuição mínima mensal garantida (RMMG) - Madeira,,,,,,650.9
2020,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,635.0
2021,Portugal,Retribuição mínima mensal garantida (RMMG) - Açores,,,,,,698.3
2021,Portugal,Retribuição mínima mensal garantida (RMMG) - Madeira,,,,,,682.0
2021,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,665.0
2022,Portugal,Retribuição mínima mensal garantida (RMMG) - Açores,,,,,,740.3
2022,Portugal,Retribuição mínima mensal garantida (RMMG) - Madeira,,,,,,723.0
2022,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,705.0
2023,Portugal,Retribuição mínima mensal garantida (RMMG) - Açores,,,,,,798.0
2023,Portugal,Retribuição mínima mensal garantida (RMMG) - Madeira,,,,,,785.0
2023,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,760.0
2024,Portugal,Retribuição mínima mensal garantida (RMMG) - Açores,,,,,,861.0
2024,Portugal,Retribuição mínima mensal garantida (RMMG) - Madeira,,,,,,850.0
2024,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,820.0
2025,Portugal,Retribuição mínima mensal garantida (RMMG) - Açores,,,,,,913.5
2025,Portugal,Retribuição mínima mensal garantida (RMMG) - Madeira,,,,,,915.0
2025,Portugal,Retribuição mínima mensal garantida (RMMG) - Portugal continental,,,,,,870.0
,,,,,,,,
,Indicador: Salário mínimo nacional,,,,,,,
,Ultima atualização: 30.12.2024,,,,,,,
,Fonte: Legislação obrigatória (Diário da República),,,,,,,
